Token { Kind[stx] Lexeme[0x2] Span[{0:0 0}:{1:1 1}] }
Token { Kind[glyph] Lexeme[0x73] Span[{1:1 1}:{1:2 2}] }
Token { Kind[glyph] Lexeme[0x74] Span[{1:2 2}:{1:3 3}] }
Token { Kind[glyph] Lexeme[0x78] Span[{1:3 3}:{1:4 4}] }
Token { Kind[s] Lexeme[0x20] Span[{1:4 4}:{1:5 5}] }
Token { Kind[s] Lexeme[0x20] Span[{1:5 5}:{1:6 6}] }
Token { Kind[s] Lexeme[0x20] Span[{1:6 6}:{1:7 7}] }
Token { Kind[s] Lexeme[0x20] Span[{1:7 7}:{1:8 8}] }
Token { Kind[s] Lexeme[0x20] Span[{1:8 8}:{1:9 9}] }
Token { Kind[s] Lexeme[0x20] Span[{1:9 9}:{1:10 10}] }
Token { Kind[s] Lexeme[0x20] Span[{1:10 10}:{1:11 11}] }
Token { Kind[s] Lexeme[0x20] Span[{1:11 11}:{1:12 12}] }
Token { Kind[s] Lexeme[0x20] Span[{1:12 12}:{1:13 13}] }
Token { Kind[s] Lexeme[0x20] Span[{1:13 13}:{1:14 14}] }
Token { Kind[s] Lexeme[0x20] Span[{1:14 14}:{1:15 15}] }
Token { Kind[s] Lexeme[0x20] Span[{1:15 15}:{1:16 16}] }
Token { Kind[s] Lexeme[0x20] Span[{1:16 16}:{1:17 17}] }
Token { Kind[assignor] Lexeme[0x3D] Span[{1:17 17}:{1:18 18}] }
Token { Kind[s] Lexeme[0x20] Span[{1:18 18}:{1:19 19}] }
Token { Kind[hexadecimal] Lexeme[0x30] Span[{1:19 19}:{1:20 20}] }
Token { Kind[hexadecimal] Lexeme[0x78] Span[{1:20 20}:{1:21 21}] }
Token { Kind[hexadecimal] Lexeme[0x32] Span[{1:21 21}:{1:22 22}] }
Token { Kind[delimiter] Lexeme[0x3B] Span[{1:22 22}:{1:23 23}] }
Token { Kind[nl] Lexeme[0xA] Span[{1:23 23}:{2:1 24}] }
Token { Kind[glyph] Lexeme[0x65] Span[{2:1 24}:{2:2 25}] }
Token { Kind[glyph] Lexeme[0x6F] Span[{2:2 25}:{2:3 26}] }
Token { Kind[glyph] Lexeme[0x69] Span[{2:3 26}:{2:4 27}] }
Token { Kind[s] Lexeme[0x20] Span[{2:4 27}:{2:5 28}] }
Token { Kind[s] Lexeme[0x20] Span[{2:5 28}:{2:6 29}] }
Token { Kind[s] Lexeme[0x20] Span[{2:6 29}:{2:7 30}] }
Token { Kind[s] Lexeme[0x20] Span[{2:7 30}:{2:8 31}] }
Token { Kind[s] Lexeme[0x20] Span[{2:8 31}:{2:9 32}] }
Token { Kind[s] Lexeme[0x20] Span[{2:9 32}:{2:10 33}] }
Token { Kind[s] Lexeme[0x20] Span[{2:10 33}:{2:11 34}] }
Token { Kind[s] Lexeme[0x20] Span[{2:11 34}:{2:12 35}] }
Token { Kind[s] Lexeme[0x20] Span[{2:12 35}:{2:13 36}] }
Token { Kind[s] Lexeme[0x20] Span[{2:13 36}:{2:14 37}] }
Token { Kind[s] Lexeme[0x20] Span[{2:14 37}:{2:15 38}] }
Token { Kind[s] Lexeme[0x20] Span[{2:15 38}:{2:16 39}] }
Token { Kind[s] Lexeme[0x20] Span[{2:16 39}:{2:17 40}] }
Token { Kind[assignor] Lexeme[0x3D] Span[{2:17 40}:{2:18 41}] }
Token { Kind[s] Lexeme[0x20] Span[{2:18 41}:{2:19 42}] }
Token { Kind[hexadecimal] Lexeme[0x30] Span[{2:19 42}:{2:20 43}] }
Token { Kind[hexadecimal] Lexeme[0x78] Span[{2:20 43}:{2:21 44}] }
Token { Kind[hexadecimal] Lexeme[0x33] Span[{2:21 44}:{2:22 45}] }
